# backend	en
# started_utc	20260901T001606Z
# cases	A1 B1 B2 C1 C2 D2 E1 F1 F5
# churn	3 x 12s
# local_host	192.168.0.104
# peer_host	192.168.0.156
# image_id	b46e2770-7777-486b-8c87-db84a8fb34c5
# git_commit	9b993992b
# host	Linux 6.14.0-37-generic x86_64
case	status	detail
A1	PASS	대상 백엔드만 기동됨
B1	PASS	단일노드 세션 (RUNNING)
B2	PASS	RUNNING 이고 두 노드에 갈림 (main1@peer, sub1@local)
C1	PASS	sub1=10.128.26.1 main1=10.128.26.2
C2	PASS	main1→sub1 및 sub1→main1 모두 0% (10.128.26.1 / 10.128.26.2)
D2	PASS	memory.max=2147483648 cpuset.cpus=0-3
E1	PASS	지표 전 항목 존재 (cpu_used cpu_util io_read io_scratch_size io_write mem net_rx net_tx )
F1	PASS	파일 2 개, 최대 2097152 B, 총 2097152 B (48 MiB 를 쏟은 뒤)
F5	PASS	종료된 커널의 로그 파일 (0)
# finished_utc	20260901T001805Z
# pass	9
# fail	0
# skip	0
